Yaw,Pitch,Roll,Latitude,Longitude,Altitude,Speed,
0.31,0,0,0,0,0,0,
0.61,0,0,0,0,0,0,
0.87,0,0,0,0,0,0,
1.05,0,0,0,0,0,0,
1.29,0,0,0,0,0,0,
1.47,0,0,0,0,0,0,
1.63,0,0,0,0,0,0,
1.79,0,0,0,0,0,0,
1.92,0,0,0,0,0,0,
2.04,0,0,0,0,0,0,
1.98,0,0,0,0,0,0,
1.88,0,0,0,0,0,0,
1.77,0,0,0,0,0,0,
1.67,0,0,0,0,0,0,
1.59,0,0,0,0,0,0,
1.51,0,0,0,0,0,0,
1.44,0,0,0,0,0,0,
1.38,0,0,0,0,0,0,
1.37,0,0,0,0,0,0,
1.56,0,0,0,0,0,0,
1.55,0,0,0,0,0,0,
1.66,0,0,0,0,0,0,
1.8,0,0,0,0,0,0,
1.94,0,0,0,0,0,0,
2.06,0,0,0,0,0,0,
2.16,0,0,0,0,0,0,
2.36,0,0,0,0,0,0,
2.52,0,0,0,0,0,0,
2.66,0,0,0,0,0,0,
2.8,0,0,0,0,0,0,
2.81,0,0,0,0,0,0,
2.61,0,0,0,0,0,0,
2.44,0,0,0,0,0,0,
2.27,0,0,0,0,0,0,
2.13,0,0,0,0,0,0,
1.98,0,0,0,0,0,0,
1.88,0,0,0,0,0,0,
1.88,0,0,0,0,0,0,
2.09,0,0,0,0,0,0,
2.3,0,0,0,0,0,0,
2.36,0,0,0,0,0,0,
2.19,0,0,0,0,0,0,
2.07,0,0,0,0,0,0,
1.94,0,0,0,0,0,0,
1.85,0,0,0,0,0,0,
1.73,0,0,0,0,0,0,
1.67,0,0,0,0,0,0,
1.67,0,0,0,0,0,0,
1.8,0,0,0,0,0,0,
1.95,0,0,0,0,0,0,
1.9,0,0,0,0,0,0,
1.78,0,0,0,0,0,0,
1.69,0,0,0,0,0,0,
1.61,0,0,0,0,0,0,
1.54,0,0,0,0,0,0,
1.47,0,0,0,0,0,0,
1.41,0,0,0,0,0,0,
1.36,0,0,0,0,0,0,
1.26,0,0,0,0,0,0,
1.22,0,0,0,0,0,0,
1.19,0,0,0,0,0,0,
1.17,0,0,0,0,0,0,
1.15,0,0,0,0,0,0,
1.12,0,0,0,0,0,0,
1.1,0,0,0,0,0,0,
1.09,0,0,0,0,0,0,
1.23,0,0,0,0,0,0,
1.45,0,0,0,0,0,0,
1.61,0,0,0,0,0,0,
1.65,0,0,0,0,0,0,
1.57,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
1.52,0,0,0,0,0,0,
1.48,0,0,0,0,0,0,
1.43,0,0,0,0,0,0,
1.38,0,0,0,0,0,0,
1.34,0,0,0,0,0,0,
1.3,0,0,0,0,0,0,
1.26,0,0,0,0,0,0,
1.23,0,0,0,0,0,0,
1.21,0,0,0,0,0,0,
1.19,0,0,0,0,0,0,
1.16,0,0,0,0,0,0,
1.15,0,0,0,0,0,0,
1.14,0,0,0,0,0,0,
1.13,0,0,0,0,0,0,
1.17,0,0,0,0,0,0,
1.24,0,0,0,0,0,0,
1.28,0,0,0,0,0,0,
1.33,0,0,0,0,0,0,
1.29,0,0,0,0,0,0,
1.27,0,0,0,0,0,0,
1.24,0,0,0,0,0,0,
1.21,0,0,0,0,0,0,
1.2,0,0,0,0,0,0,
1.18,0,0,0,0,0,0,
1.25,0,0,0,0,0,0,
1.44,0,0,0,0,0,0,
1.62,0,0,0,0,0,0,
1.8,0,0,0,0,0,0,
1.94,0,0,0,0,0,0,
1.85,0,0,0,0,0,0,
1.92,0,0,0,0,0,0,
2.05,0,0,0,0,0,0,
2.01,0,0,0,0,0,0,
2.01,0,0,0,0,0,0,
2.11,0,0,0,0,0,0,
2.09,0,0,0,0,0,0,
2.2,0,0,0,0,0,0,
2.31,0,0,0,0,0,0,
2.44,0,0,0,0,0,0,
2.45,0,0,0,0,0,0,
2.41,0,0,0,0,0,0,
2.36,0,0,0,0,0,0,
2.36,0,0,0,0,0,0,
2.21,0,0,0,0,0,0,
2.29,0,0,0,0,0,0,
2.38,0,0,0,0,0,0,
2.48,0,0,0,0,0,0,
2.55,0,0,0,0,0,0,
2.61,0,0,0,0,0,0,
2.62,0,0,0,0,0,0,
2.44,0,0,0,0,0,0,
2.29,0,0,0,0,0,0,
2.17,0,0,0,0,0,0,
2.03,0,0,0,0,0,0,
1.88,0,0,0,0,0,0,
1.74,0,0,0,0,0,0,
1.65,0,0,0,0,0,0,
1.58,0,0,0,0,0,0,
1.75,0,0,0,0,0,0,
1.91,0,0,0,0,0,0,
1.91,0,0,0,0,0,0,
1.82,0,0,0,0,0,0,
1.73,0,0,0,0,0,0,
1.66,0,0,0,0,0,0,
1.59,0,0,0,0,0,0,
1.53,0,0,0,0,0,0,
1.47,0,0,0,0,0,0,
1.44,0,0,0,0,0,0,
1.4,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
1.45,0,0,0,0,0,0,
